wj|(Admirativpartikel)|Wb I S 270|(Admirativpartikel)
Tnr|[als Lieferung eines Juweliers]|Wb V S 384|[als Lieferung eines Juweliers]
TnrH|verzeihen|Wb V S 384|verzeihen
Tnrk|[Bier]|Wb V S 384|[Bier]
TnH|blicken auf jemanden|Wb V S 384|blicken auf jemanden
TnH|[Gottheit]|Meeks: AL 784696|[Gottheit]
TnHr|[Falke]|Wb V S 384|[Falke]
Tntj|[Sonnengott]|Wb V S 384|[Sonnengott]
TnTAt|Thronestrade|Wb V S 384|Thronestrade
TnTAt|Tragsessel|Wb V S 385|Tragsessel
TnTAt|Thronhalle|Wb V S 385|Thronhalle
TnTn|zu Fu&szlig; gehen|Wb V S 385|zu Fuss gehen
Tr|(= {Tnw}) Zahl|Wb V S 385|(= {Tnw}) Zahl
Tr|[Teil des T&uuml;rverschlusses]|Wb V S 385|[Teil des Tuerverschlusses]
Tr|[mineralischer Stoff aus Elephantine]|Wb V S 386|[mineralischer Stoff aus Elephantine]
Tr|[Bezeichnung f&uuml;r Blut]|Wb V S 386|[Bezeichnung fuer Blut]
Tr|[Substantiv]|Meeks: AL 784697|[Substantiv]
Trt|Weide (Baum)|Wb V S 385|Weide (Baum)
Trtj|[Gott]|Wb V S 386|[Gott]
Trj|[Geb&auml;ck]|Wb V S 386|[Gebaeck]
Trjjt|[G&ouml;ttin der Weide(?)]|Meeks: AL 774949; Meeks: AL 793494|[Goettin der Weide(?)]
Trjn|Panzer|Wb V S 386|Panzer
Trjjt|Klage, Trauer|Meeks: AL 784702|Klage, Trauer
Tra|[Bezeichnung f&uuml;r &Auml;cker]|Wb V S 384|[Bezeichnung fuer Aecker]
Trwn|Blindheit|Wb V S 387|Blindheit
Trwrw|sich an etwas freuen|Wb V S 387|sich an etwas freuen
Trb|[Gef&auml;&szlig;]|Wb V S 387|[Gefaess]
Trp|[Gans oder Ente]|Wb V S 387|[Gans oder Ente]
Trp|torkeln|Wb V S 387|torkeln
Trf|Tanz|Wb V S 387|Tanz
Trm|zwinkern|Wb V S 387|zwinkern
Trr|[Substantiv]|Meeks: AL 784706|[Substantiv]
Trrj|Wall|Wb V S 388|Wall
TrH|spotten|Wb V S 388|spotten
Trst|[K&ouml;rperteil]|Wb V S 388|[Koerperteil]
Trt|feines Mehl|Wb V S 388|feines Mehl
Trt|[kleineres Schiff]|Wb V S 388|[kleineres Schiff]
Th|Lahmer|Wb V S 388|Lahmer
Thb|springen|Wb V S 388|springen
Thm|jagen|Wb V S 388|jagen
Thm|reizen|Wb V S 389|reizen
ThTh|[Personenbezeichnung]|Wb V S 389|[Personenbezeichnung]
TH|Sitz, Thron(?)|Meeks: AL 774964|Sitz, Thron(?)
THj|ber&uuml;hren|Wb V S 389|beruehren
THw|sich freuen|Wb V S 389|sich freuen
THw|Freude|Wb V S 389|Freude
THftj|Mutterkorn|Wb V S 389|Mutterkorn
THn|entfernen (Geschwulst)|Wb V S 389|entfernen (Geschwulst)
THn|treffen, begegnen|Wb V S 389|treffen, begegnen
THn|gl&auml;nzend sein|Wb V S 391|glaenzend sein
THn|erhellen|Wb V S 393|erhellen
THn|Glanz|Wb V S 393|Glanz
THn|[Bezeichnung f&uuml;r Blumen]|Wb V S 394|[Bezeichnung fuer Blumen]
THnt|Fayence-Perlengeh&auml;nge|Wb V S 390|Fayence-Perlengehaenge
THnt|Fayence|Wb V S 390|Fayence
THnt|[offizinell Verwendetes]|Wb V S 391|[offizinell Verwendetes]
THnt|[Teil des Auges]|Wb V S 391|[Teil des Auges]
THnt|[Bezeichnung f&uuml;r das Salb&ouml;l]|Wb V S 391|[Bezeichnung fuer das Salboel]
THnt|[Bezeichnung f&uuml;r G&ouml;ttinnen, besonders Hathor]|Wb V S 394|[Bezeichnung fuer Goettinnen, besonders Hathor]
THnt|Baumgarten|Wb V S 394|Baumgarten
THnw|Libyen|Wb V S 394|Libyen
THnj|[Beiname des Sonnengottes]|Wb V S 393|[Beiname des Sonnengottes]
THnwjw|Libyer|Wb V S 394|Libyer
THnn|sich freuen|Wb V S 395|sich freuen
THnHn|gl&auml;nzen|Wb V S 395|glaenzen
THr|sch&auml;digen|Wb V S 395|schaedigen
THH|jubeln, jauchzen, sich freuen|Wb V S 395|jubeln, jauchzen, sich freuen
THHwt|Jauchzen|Wb V S 395|Jauchzen
THs|recken, ausspannen (Leder)|Wb V S 395|recken, ausspannen (Leder)
THst|[Metall]|Wb V S 396|[Metall]
THtj|[Metall]|Wb V S 396|[Metall]
Tx|[Substantiv]|Meeks: AL 774969|[Substantiv]
Ts|knoten, verkn&uuml;pfen|Wb V S 396|knoten, verknuepfen
Ts|Wirbelknochen|Wb V S 400|Wirbelknochen
Ts|Hals|Wb V S 400|Hals
Ts|Zahn|Wb V S 401|Zahn
Ts|Sandbank|Wb V S 401|Sandbank
Ts|Herrscher sein|Wb V S 402|Herrscher sein
Ts|Spruch, Ausspruch, Satz|Wb V S 403|Spruch, Ausspruch, Satz
Ts|ausheben (Mannschaften)|Wb V S 404|ausheben (Mannschaften)
Ts|Steuer, Leistung, Abgabe|Wb V S 404|Steuer, Leistung, Abgabe
Ts|St&uuml;tze|Wb V S 407|Stuetze
Ts|Tadelnswertes|Wb V S 408|Tadelnswertes
Tst|Knoten|Wb V S 399|Knoten
Tst|[Beischrift zu einem Schmuckst&uuml;ck]|Wb V S 399|[Beischrift zu einem Schmuckstueck]
Tst|Wirbelknochen|Wb V S 400|Wirbelknochen
Tst|[Teil des Wagens]|Wb V S 401|[Teil des Wagens]
Tst|[Kultger&auml;t der Isis]|Wb V S 401|[Kultgeraet der Isis]
Tst|Gebirge|Wb V S 401|Gebirge
Tst|Truppe|Wb V S 402|Truppe
Tst|Steuern|Wb V S 404|Steuern
Tst|Kasten (als M&ouml;bel)|Wb V S 404|Kasten (als Moebel)
Tst|Rang|Wb V S 407|Rang
Tst|Himmel, Dach|Wb V S 407|Himmel, Dach
Tst|Klageweib|Wb V S 408|Klageweib
Tst|Vorw&uuml;rfe|Wb V S 408|Vorwuerfe
Tst|Verderben, Vernichtung|Wb V S 408|Verderben, Vernichtung
Tst|Opferanteil (der Priester)|Wb V S 409|Opferanteil (der Priester)
Tst|Zahn|Wb V S 409|Zahn
Tstj|Beiwort des Osiris|Wb V S 405|Beiwort des Osiris
Ts|sitzen|Wb V S 410|sitzen
Tst|[Substantiv]|Meeks: AL 793514|[Substantiv]
Tstjw|[Bezeichnung der Feinde]|Wb V S 409|[Bezeichnung der Feinde]
Tsw|Befehlshaber|Wb V S 402|Befehlshaber
Ts-arq|[Dekan]|Wb I S 213|[Dekan]
Ts-wAH|flechten (einen Kranz)|Wb I S 257|flechten (einen Kranz)
Ts-pXr|in umgekehrter Reihenfolge zu wiederholen|Wb V S 404|in umgekehrter Reihenfolge zu wiederholen
Ts-pDt|Truppenbefehlshaber|Wb I S 571|Truppenbefehlshaber
Ts-mDH|G&uuml;rtel umbinden = mannbar werden|Wb II S 189|Guertel umbinden = mannbar werden
Tst-nt-mwjt|Harnverhaltung|Wb V S 399|Harnverhaltung
Ts-Hwrw|Vorwurf|Wb III S 56|Vorwurf
Tsj|[Stelle, wo Toter Wasser trinkt]|Wb V S 402|[Stelle, wo Toter Wasser trinkt]
Tsj|hochheben|Wb V S 405|hochheben
Tsj|tadeln|Wb V S 408|tadeln
Tsj-jxt|Sch&auml;tze anh&auml;ufen|Wb V S 405|Schaetze anhaeufen
Tsj-nmtt|eifrig sein|Wb V S 406|eifrig sein
Tsj-hAj|hin und herreden|Wb V S 407|hin und herreden
Tsj-Tbwj|eilen|Wb V S 406|eilen
Tsw|Versteifung im Nacken|Wb V S 409|Versteifung im Nacken
Tsw|Vorwegnahme(?)|Meeks: AL 793518|Vorwegnahme(?)
Tsbt|Blindheit|RdE 30 (1978) S 20; Meeks: AL 784725|Blindheit
Tsm|Windhund|Wb V S 409|Windhund
Tsm|bauen|Wb V S 410|bauen
Tsm|[von einem Geschw&uuml;r]|Wb V S 410|[von einem Geschwuer]
Tsm|zujubeln|Wb V S 410|zujubeln
Tsmt|H&uuml;ndin|Wb V S 410|Huendin
Tsmt|Mauerzinne|Wb V S 410|Mauerzinne
Tsst|Vorwegnahme|Meeks: AL 774982|Vorwegnahme
Tstn|[Kleidungsst&uuml;ck]|Wb V S 410|[Kleidungsstueck]
Tk|blind|Wb V S 410|blind
Tk|[Werkzeug], [Messer]|RdE 30 (1978) S 20; Meeks: AL 774985; Meeks: AL 784728; Meeks: AL 793521|[Werkzeug], [Messer]
Tkr|[eines der sogenannten Seev&ouml;lker]|Wb V S 410|[eines der sogenannten Seevoelker]
Tkr|[Teil der Umfassungsmauer eines Tempels]|Wb V S 411|[Teil der Umfassungsmauer eines Tempels]
Tktn|Kundschafter, W&auml;chter|Wb V S 411|Kundschafter, Waechter
Tg|[Nutzholz aus Asien]|Wb V S 356|[Nutzholz aus Asien]
Tt|Begleiter des K&ouml;nigs|Wb V S 411|Begleiter des Koenigs
Tt|aufl&ouml;sen, aufmachen|Wb V S 411|aufloesen, aufmachen
Tt|(= {DdA}) fett|Wb V S 411|(= {DdA}) fett
TtAA|[Eigenschaft]|Wb V S 411|[Eigenschaft]
Ttjw(?)|Leute der Mannschaft(?)|Meeks: AL 774878|Leute der Mannschaft(?)
Ttf|besteigen|Wb V S 411|besteigen
Ttf|aussch&uuml;tten|Wb V S 412|ausschuetten
Ttf|[&Uuml;berquellendes des Scheffels]|Wb V S 413|[Ueberquellendes des Scheffels]
Ttf|[Krug f&uuml;r Bier]|Wb V S 413|[Krug fuer Bier]
Ttt|[Skorpion]|Wb V S 413|[Skorpion]
TtTt|sich zanken|Wb V S 413|sich zanken
TtTt|Zank|Wb V S 413|Zank
TtTt|streiten|Wb V S 413|streiten
TtTt|Quirl|Wb V S 413|Quirl
TT|[Gef&auml;&szlig;]|Wb V S 413|[Gefaess]
TT|Sperling|Wb V S 413|Sperling
d|Hand|Wb V S 414|Hand
dA|niederschmettern|Wb V S 414|niederschmettern
dA|entkommen|Wb V S 414|entkommen
dA|zittern|Wb V S 415|zittern
dA|(= {DbA}) schm&uuml;cken|Wb V S 415|(= {DbA}) schmuecken
dAt|Unterwelt|Wb V S 415|Unterwelt
dAt|[Himmelsgegend, wo Sonne aufgeht]|Wb V S 415|[Himmelsgegend, wo Sonne aufgeht]
dAt|[Bezeichnung des Grabes]|Wb V S 416|[Bezeichnung des Grabes]
dAt|Abgrund|Wb V S 416|Abgrund
dAjw|Leinenstoff als Ballen|Wb V S 417|Leinenstoff als Ballen
dAw|[g&ouml;ttliches Wesen]|Wb V S 414|[goettliches Wesen]
dAwt|Zittern|Wb V S 415|Zittern
dAb|Feige|Wb V S 417|Feige
dAb|[&Uuml;berschrift zu einem Spiel mit St&auml;ben]|Wb V S 418|[Ueberschrift zu einem Spiel mit Staeben]
dAm|[Verb]|Meeks: AL 784737|[Verb]
dAr|bezwingen, bedr&auml;ngen, rauben|Wb V S 418|bezwingen, bedraengen, rauben
dAr-jb|sich beherrschen|Wb V S 418|sich beherrschen
dAr-srf|beherrscht|Wb V S 418|beherrscht
dAs|[Zubeh&ouml;r zur Bogensehne]|Wb V S 418|[Zubehoer zur Bogensehne]
dAs|(Verbum)|Wb V S 419|(Verbum)
dAgj|Fledermaus|Wb V S 419|Fledermaus
dAdA|Unzucht|Wb V S 419|Unzucht
dAdA|entkommen|Wb V S 419|entkommen
dj|Gabe|Wb V S 419|Gabe
dj|hier|Wb V S 420|hier
dj|f&uuml;nf|Wb V S 420|fuenf
dj|Kr&auml;uter|Wb V S 421|Kraeuter
djwt|F&uuml;nfheit|Wb V S 420|Fuenfheit
djwt|Worflerin|Wb V S 421|Worflerin
dj-mrt|[Bezeichnung f&uuml;r den Himmel]|Wb V S 420|[Bezeichnung fuer den Himmel]
djgg|[Gottheit]|Meeks: AL 784748|[Gottheit]
djdj|[rotfarbendes Mineral]|Wb V S 421|[rotfarbendes Mineral]
dwA|[Gew&auml;sser im Osten des Himmels]|Wb V S 424|[Gewaesser im Osten des Himmels]
dwA|fr&uuml;h auf sein|Wb V S 426|frueh auf sein
dwA|preisen|Wb V S 426|preisen
dwAt|[Nilpferdg&ouml;ttin]|Wb V S 424|[Nilpferdgoettin]
dwAt|(= {dAt}) Unterwelt|Wb V S 425|(= {dAt}) Unterwelt
dwAt|Lobpreis|Wb V S 428|Lobpreis
dwAt|Verehrerin eines Gottes|Wb V S 429|Verehrerin eines Gottes
dwAt|[offizinell verwendete Pflanze]|Wb V S 430|[offizinell verwendete Pflanze]
dwAtj|preisen|Wb V S 428|preisen
dwAw|Morgenfr&uuml;he|Wb V S 422|Morgenfruehe
dwAw|Loblied|Wb V S 428|Loblied
dwAw|Verehrer|Wb V S 429|Verehrer
dwAwt|[weibliches g&ouml;ttliches Wesen (T&auml;nzerin)]|Wb V S 424|[weibliches goettliches Wesen (Taenzerin)]
dwAwt|Hymnen|Wb V S 428|Hymnen
dwA-wr|[Gott]|Wb V S 429|[Gott]
dwA-mwt=f|Duamutef [schakalsk&ouml;pfiger Horussohn]|Wb V S 429|Duamutef [schakalskoepfiger Horussohn]
dwA-nTr|preisen|Wb V S 428|preisen
dwA-nTr|[Priestertitel], Bezeichnung des Osiris]|Wb V S 430|[Priestertitel], Bezeichnung des Osiris]
dwAt-nTr|Gottesverehrerin|Wb V S 430|Gottesverehrerin
dwAj|morgendlich|Wb V S 423|morgendlich
dwAj|Morgensonne|Wb V S 424|Morgensonne
dwAjt|Morgen|Wb V S 424|Morgen
dwAjt|Garten|Wb V S 430|Garten
dwAw|[Schutzgott der Augen&auml;rzte]|Meeks: AL 793530|[Schutzgott der Augenaerzte]
dwAw-nfr|guten Morgen!|Wb V S 422|guten Morgen!
dwn|ausstrecken|Wb V S 431|ausstrecken
dwn|[Schutzgott des Osiris]|Wb V S 433|[Schutzgott des Osiris]
dwn|spie&szlig;en|Wb V S 433|spiessen
dwn|(vom Auge, neben blind)|Wb V S 433|(vom Auge, neben blind)
dwn|Speisen|Wb V S 433|Speisen
dwnt|niedergestrecktes Opfer(?)|Meeks: AL 784763|niedergestrecktes Opfer(?)
dwntj|Triumphator|Wb V S 433|Triumphator
dwn-awj|[Schutzgott des Osiris]|Wb V S 432|[Schutzgott des Osiris]
dwn-HAt|[W&auml;chter am Tor der Unterwelt]|Wb V S 432|[Waechter am Tor der Unterwelt]
dwn-gst|weit ausschreiten, gro&szlig;e Schritte machen|Wb V S 431|weit ausschreiten, grosse Schritte machen
dwr|[Ma&szlig; f&uuml;r Fr&uuml;chte]|Wb V S 433|[Mass fuer Fruechte]
dwd|tragen|Meeks: AL 784765|tragen
db|Nilpferd|Wb V S 433|Nilpferd
db|Horn|Wb V S 433|Horn
db|[beim Vogelfang]|Wb V S 434|[beim Vogelfang]
db|Kasten|Wb V S 434|Kasten
dbt|weibliches Nilpferd|Wb V S 434|weibliches Nilpferd
dbt|Kopf|Wb V S 434|Kopf
dbtt|[Hundename]|Wb V S 434|[Hundename]
dbw|Holz des Bogens|Wb V S 434|Holz des Bogens
dbw|Ufer|Wb V S 434|Ufer
dbA|umfallen|Wb V S 435|umfallen
dbA|(= {DbA}) schm&uuml;cken|Wb V S 435|(= {DbA}) schmuecken
dbA|(= {DbA}) [g&ouml;ttliches Wesen]|Wb V S 435|(= {DbA}) [goettliches Wesen]
dbAt|[&Ouml;rtlichkeit im Amduat]|Wb V S 436|[Oertlichkeit im Amduat]
dbAtj|[Bezeichnung des Sonnengottes]|Wb V S 436|[Bezeichnung des Sonnengottes]
dbAw|Grabausstattung(?)|Meeks: AL 775015|Grabausstattung(?)
dbj|Nilpferdpeitsche|Wb V S 434|Nilpferdpeitsche
dbjt|Untersatz|Wb V S 434|Untersatz
dbjt|[Stoff]|Wb V S 434|[Stoff]
dbjt|[Getr&auml;nk]|Wb V S 435|[Getraenk]
dbjt|[offizinell verwendete Pflanze]|Wb V S 435|[offizinell verwendete Pflanze]
dbjj|&lt;&lt;in: {dby Hr} [Name eines D&auml;mons]&gt;&gt;]|Meeks: AL 784766|<<in: {dby Hr} [Name eines Daemons]>>]
dbjwt|[Teile der Wagendeichsel]|Wb V S 435|[Teile der Wagendeichsel]
dbb|verstopfen|Wb V S 436|verstopfen
dbbt|Verstopftes|Wb V S 436|Verstopftes
dbn|Ring|Wb V S 436|Ring
dbn|Umkreis|Wb V S 436|Umkreis
dbn|rund sein|Wb V S 436|rund sein
dbn|rund|Wb V S 437|rund
dbn|umwandeln (einen Ort)|Wb V S 437|umwandeln (einen Ort)
dbn|kreisf&ouml;rmiges Feldst&uuml;ck|Wb V S 437|kreisfoermiges Feldstueck
dbn|runder Holzkasten|Wb V S 437|runder Holzkasten
dbn|Kopf|Wb V S 437|Kopf
dbn|Helm (aus Metall)|Wb V S 438|Helm (aus Metall)
dbn|Gewicht von ca 91 g|Wb V S 438|Gewicht von ca 91 g
dbn|[etwas, das Maurer benutzen; offizinell verwendet]|Wb V S 438|[etwas, das Maurer benutzen; offizinell verwendet]
dbnt|Haarflechte|Wb V S 438|Haarflechte
dbnt|Vieh|Wb V S 438|Vieh
dbntj|[Bezeichnung f&uuml;r Sonne und Mond]|Wb V S 437|[Bezeichnung fuer Sonne und Mond]
dbnw|Kreis, Umkreis|Wb V S 436|Kreis, Umkreis
dbn-pXr-HAw-nbwt|[Bezeichnung des Ag&auml;ischen Meeres]|Wb III S 11|[Bezeichnung des Agaeischen Meeres]
dbn-n-tp|Helm|Wb V S 264|Helm
dbnj|Sonne und Mond|Wb V S 437|Sonne und Mond
dbnj|[Bezeichnung des Osiris]|Wb V S 437|[Bezeichnung des Osiris]
dbnbn|durchwandern (einen Ort)|Wb V S 439|durchwandern (einen Ort)
dbnbn|Wanderungen, Wechself&auml;lle|Meeks: AL 775022|Wanderungen, Wechselfaelle
dbr|G&ouml;tterschrein|Wb V S 439|Goetterschrein
dbhj|Feinde|Wb V S 439|Feinde
dbH|bed&uuml;rfen, erbitten|Wb V S 439|beduerfen, erbitten
dbH|Bitten|Wb V S 440|Bitten
dbH|Ma&szlig;|Wb V S 441|Mass
dbH|[Gef&auml;&szlig;]|Wb V S 442|[Gefaess]
dbH|[Speise]|Wb V S 442|[Speise]
dbHt|Bedarf, Ger&auml;te|Wb V S 440|Bedarf, Geraete
dbHt|Tisch (f&uuml;r Speisebedarf des Toten)|Wb V S 441|Tisch (fuer Speisebedarf des Toten)
dbHt|[Schmuckst&uuml;cke]|Wb V S 442|[Schmuckstuecke]
dbHw|Ger&auml;te|Wb V S 440|Geraete
dbHw|Speisen|Wb V S 441|Speisen
dbHt-Htp|Speisenbedarf|Wb V S 440|Speisenbedarf
dbH-sprwt|bitten|Wb IV S 104|bitten
dbHw|Takelage|Meeks: AL 784777|Takelage
dbHw|rituelle Garderobe|Meeks: AL 784778|rituelle Garderobe
dbHw|Reklamation, Beanstandung|RdE 29 (1977) S 13; Meeks: AL 775028|Reklamation, Beanstandung
dbs|seinen Stolz in etwas setzen|Meeks: AL 775029|seinen Stolz in etwas setzen
dbdb|klopfen (vom Herzen)|Wb V S 442|klopfen (vom Herzen)
dbdb|stechen|Wb V S 442|stechen
dbdb|angreifen|Wb V S 442|angreifen
dbdb|schl&uuml;rfen (Blut)|Wb V S 442|schluerfen (Blut)
dp|[Stadt der Schlangeng&ouml;ttin von Unter&auml;gypten]|Wb V S 443|[Stadt der Schlangengoettin von Unteraegypten]
dp|[krankhafte Erscheinung (von Magengeschw&uuml;r)]|Wb V S 443|[krankhafte Erscheinung (von Magengeschwuer)]
dp|schmecken|Wb V S 443|schmecken
dp|spenden (Wasser)|Wb V S 445|spenden (Wasser)
dp|zugrunde gehen|Wb V S 445|zugrunde gehen
dp|gro&szlig;er Steinblock|Wb V S 447|grosser Steinblock
dp|vers&uuml;&szlig;en(?), bes&auml;nftigen(?)|RdE 30 (1978) S 20; Meeks: AL 784781|versuessen(?), besaenftigen(?)
dpt|Geschmack|Wb V S 444|Geschmack
dpt|Niere|Wb V S 445|Niere
dpt|[Schiff]|Wb V S 446|[Schiff]
dptj|[Geb&auml;ck]|Wb V S 447|[Gebaeck]
dpw|Schiff|Wb V S 446|Schiff
dpw|Steuerruder|Wb V S 447|Steuerruder
dpw|[Teil des Mastbaumes]|Wb V S 447|[Teil des Mastbaumes]
dpj|Steuermann|Wb V S 447|Steuermann
dpj|Krokodil|Wb V S 447|Krokodil
dpjt|[Beiname der unter&auml;gyptischen Schlangeng&ouml;ttin]|Wb V S 443|[Beiname der unteraegyptischen Schlangengoettin]
dpx|Richtblock|Wb V S 448|Richtblock
dfj|[gro&szlig;es Gef&auml;&szlig;]|Wb V S 448|[grosses Gefaess]
dfdj|[Gottheit]|Meeks: AL 784785|[Gottheit]
dfdft|Tropfen|Wb V S 448|Tropfen
dfDj|[Gottheit]|Meeks: AL 784785|[Gottheit]
dm|sch&auml;rfen|Wb V S 448|schaerfen
dm|stechen|Wb V S 449|stechen
dm|aussprechen|Wb V S 449|aussprechen
dm|Wurm|Wb V S 451|Wurm
dmt|Messer|Wb V S 450|Messer
dmwt|Verletzung|Wb V S 451|Verletzung
dmA|zusammenbinden|Wb V S 451|zusammenbinden
dmA|Abteilung (Soldaten, S&auml;nger)|Wb V S 452|Abteilung (Soldaten, Saenger)
dmA|[bunter Schurz]|Wb V S 452|[bunter Schurz]
dmA|(Verbum vom kranken Blut im Herzen)|Wb V S 453|(Verbum vom kranken Blut im Herzen)
dmA|(Substantiv vom Opfergeben?)|Wb V S 453|(Substantiv vom Opfergeben?)
dmA|Sack|Meeks: AL 775046|Sack
dmAt|Fl&uuml;gel|Wb V S 452|Fluegel
dmAt|(Beischrift zu einem Gef&auml;&szlig;)|Wb V S 453|(Beischrift zu einem Gefaess)
dmAw|[Gott mit Pfeilen]|Wb V S 453|[Gott mit Pfeilen]
dmj|ber&uuml;hren|Wb V S 453|beruehren
dmj|Ortschaft|Wb V S 455|Ortschaft
dmj|(= {jdmj}) roter Leinenstoff|Wb V S 456|(= {jdmj}) roter Leinenstoff
dmj|[Beh&auml;lter f&uuml;r Fr&uuml;chte]|Wb V S 456|[Behaelter fuer Fruechte]
dmj|[Gef&auml;&szlig; f&uuml;r Bier]|Wb V S 456|[Gefaess fuer Bier]
dmjt|Haufen|Wb V S 456|Haufen
dmjw|Stadtgenossen|Wb V S 456|Stadtgenossen
dmj-jtrw|sich auf den Flu&szlig; begeben|Wb V S 453|sich auf den Fluss begeben
dmjt-nTr|[Kleiderg&ouml;ttin]|Wb V S 455|[Kleidergoettin]
dmD|zwei verknotete Zeugstreifen|Wb V S 456|zwei verknotete Zeugstreifen
dmD|zusammenf&uuml;gen, vereinigen|Wb V S 457|zusammenfuegen, vereinigen
dmD|Gesamtheit, Summe|Wb V S 460|Gesamtheit, Summe
dmD|Summierung (in Rechnungen)|Wb V S 460|Summierung (in Rechnungen)
dmD|[Sonnengott in Unterwelt]|Wb V S 462|[Sonnengott in Unterwelt]
dmDt|Sammelwerk|Wb V S 462|Sammelwerk
dmDt|[Ring]|Wb V S 462|[Ring]
dmDt|von der Klagefrau|Wb V S 462|von der Klagefrau
dmDt|[G&ouml;ttin in Geiergestalt]|Wb V S 463|[Goettin in Geiergestalt]
dmDw|Addierer|Wb V S 462|Addierer
dmDw|[Gott, auf Kleidern sitzend]|Wb V S 462|[Gott, auf Kleidern sitzend]
dmDwjj|die beiden Parteien (eines Streites)|Meeks: AL 784803|die beiden Parteien (eines Streites)
dmDwt|Menge (von Menschen)|Wb V S 461|Menge (von Menschen)
dmD-awt|[Osiris]|Wb I S 160|[Osiris]
dmD-Ha|[Sonnengott]|Wb V S 461|[Sonnengott]
dmD-smA|insgesamt|Wb III S 446|insgesamt
dmDj|[Schutzgott des Osiris]|Wb V S 462|[Schutzgott des Osiris]
dmDjt|Tag der Versammlung|Wb V S 461|Tag der Versammlung
dmDjt|Frist|Wb V S 461|Frist
dmDjt|(in unklarem Zusammenhang)|Wb V S 462|(in unklarem Zusammenhang)
dmDjt|[G&ouml;ttin]|Wb V S 463|[Goettin]
dn|abschneiden|Wb V S 463|abschneiden
dn|[Beischrift zu einem Knetenden]|Wb V S 464|[Beischrift zu einem Knetenden]
dn|nachf&uuml;llen (Wasser)|Wb V S 464|nachfuellen (Wasser)
dnw|Weihgeschenk|Wb V S 464|Weihgeschenk
dnw|Flicken (aus Stein)|Wb V S 464|Flicken (aus Stein)
dnwt|Familie|Wb V S 464|Familie
dnj|abd&auml;mmen|Wb V S 464|abdaemmen
dnj|zur&uuml;ckhalten|Wb V S 464|zurueckhalten
dnj|Damm (als Feldgrenze)|Wb V S 465|Damm (als Feldgrenze)
dnj|zuteilen|Wb V S 466|zuteilen
dnj|Steinblock|Wb V S 466|Steinblock
dnj|[Gegenstand aus Holz]|Wb V S 467|[Gegenstand aus Holz]
dnj|der 5 Tag ({djw-nj})|Wb V S 467|der 5 Tag ({djw-nj})
dnj|[Stoff bei Balsamierung]|Wb V S 467|[Stoff bei Balsamierung]
dnjt|[G&ouml;ttin]|Wb V S 463|[Goettin]
dnjt|Familie|Wb V S 464|Familie
dnjt|Damm, Deich|Wb V S 465|Damm, Deich
dnjt|Tag des 1 und 3 Mondviertels|Wb V S 465|Tag des 1 und 3 Mondviertels
dnjt|Teil|Wb V S 465|Teil
dnjt|Kataster|Wb V S 466|Kataster
dnjt|Korb|Wb V S 467|Korb
dnjt|Napf|Wb V S 467|Napf
dnjt|[Gef&auml;&szlig; aus Metall]|Wb V S 467|[Gefaess aus Metall]
dnjw|Anteil|Wb V S 466|Anteil
dnjwt|Geschrei|Wb V S 466|Geschrei
dnpw|[Gottheiten]|Meeks: AL 793572|[Gottheiten]
dnm|W&uuml;rmer|Wb V S 467|Wuermer
dnHst|Messer|Wb V S 468|Messer
dnxnx|sch&uuml;tzen|Wb V S 468|schuetzen
dns|schwer sein, lasten|Wb V S 468|schwer sein, lasten
dns|[Bezeichnung f&uuml;r das Nilpferd]|Wb V S 469|[Bezeichnung fuer das Nilpferd]
dnst|Schwere|Wb V S 469|Schwere
dns mhwt||Cl%\ere: In: JEA 35 S 38ff|
dnsw|Gewichte am Netz|Wb V S 469|Gewichte am Netz
dns-Haw|[heilige Schlange]|Wb V S 469|[heilige Schlange]
dng|[schlechte Eigenschaft des Ohres]|Wb V S 470|[schlechte Eigenschaft des Ohres]
dng|Zwerg|Wb V S 470|Zwerg
dng|[e&szlig;bare Pflanze]|Wb V S 470|[essbare Pflanze]
dng|[Kleidungsst&uuml;ck(?)]|Meeks: AL 775071; Meeks: AL 784816|[Kleidungsstueck(?)]
dngngs|[Bezeichnung der Ur&auml;usschlange]|Wb V S 470|[Bezeichnung der Uraeusschlange]
dndn|durchwandern|Wb V S 470|durchwandern
dndn|[Sonnengott]|Wb V S 470|[Sonnengott]
dndn|Zorn, W&uuml;ten|Wb V S 470|Zorn, Wueten
dndn|zornig sein, w&uuml;ten|Wb V S 471|zornig sein, wueten
dndn|[heilige Schlange]|Wb V S 472|[heilige Schlange]
dndn|[Bezeichnung f&uuml;r Seth]|Wb V S 472|[Bezeichnung fuer Seth]
dndn|abschneiden|Wb V S 472|abschneiden
dndnt|[Hathor]|Wb V S 472|[Hathor]
dndn-jb|zornm&uuml;tig|Wb V S 472|zornmuetig
dndn-jb|Wut|Wb V S 472|Wut
dndnjt|[Bezeichnung der Schlangeng&ouml;ttin]|Wb V S 472|[Bezeichnung der Schlangengoettin]
dr|entfernen, vertreiben|Wb V S 473|entfernen, vertreiben
dr|[vom Abtragen eines Geb&auml;udes]|Wb V S 474|[vom Abtragen eines Gebaeudes]
dr|bewahren vor|Wb V S 475|bewahren vor
dr|bekleiden|Wb V S 475|bekleiden
dr|Gewand|Wb V S 475|Gewand
